"Species";"AnaCat";"DemersPelag";"BodyShapeI";"category_troph";"Nocturnal_fish";"IUCN_Code";"Site";"Data"
"Dischistodus chrysopoecilus";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Dischistodus melanotus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Dischistodus prosopotaenia";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Encrasicholina punctifer";"oceanodromous";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Encrasicholina punctifer";"oceanodromous";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Encrasicholina punctifer";"oceanodromous";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Encrasicholina punctifer";"oceanodromous";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Enneapterygius sp.";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";"Genting 1";"eDNA"
"Photolateralis stercorarius";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"N.E.";"Menjangan Kecil";"eDNA"
"Photolateralis stercorarius";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"N.E.";"Menjangan Kecil";"eDNA"
"Photolateralis stercorarius";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"N.E.";"Cilik/Kecil";"eDNA"
"Etelis carbunculus";"Unknown";"benthopelagic";"fusiform / normal";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Etelis radiosus";"Unknown";"demersal";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Etelis radiosus";"Unknown";"demersal";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Eviota melasma";"Unknown";"reef-associated";"elongated";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Eviota sp.";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";"Genting 1";"eDNA"
"Eviota sp.";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";"Cilik/Kecil";"eDNA"
"Eviota sp.";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";"Genting 1";"eDNA"
"Fowleria variegata";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Yes";"LC";"Genting 1";"eDNA"
"Gomphosus varius";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Halichoeres argus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Halichoeres argus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Halichoeres argus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Halichoeres biocellatus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Halichoeres biocellatus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Halichoeres leucurus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Halichoeres leucurus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Halichoeres leucurus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Halichoeres leucurus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Halichoeres leucurus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Halichoeres leucurus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Halichoeres scapularis";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Halichoeres chrysotaenia";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Hemiglyphidodon plagiometopon";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Hemiglyphidodon plagiometopon";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Hemiglyphidodon plagiometopon";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Hemiglyphidodon plagiometopon";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Hemiglyphidodon plagiometopon";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Hemiglyphidodon plagiometopon";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Hemiglyphidodon plagiometopon";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Hemiglyphidodon plagiometopon";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Hemigymnus fasciatus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Hemigymnus melapterus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Hemigymnus melapterus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Hemigymnus melapterus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Hemigymnus melapterus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Hipposcarus longiceps";"Unknown";"reef-associated";"fusiform / normal";"Herbivore";"Unknown";"LC";"Genting 1";"eDNA"
"Hypoatherina valenciennei";"Unknown";"pelagic-neritic";"elongated";"Unknown";"Unknown";"N.E.";"Genting 1";"eDNA"
"Hypoatherina valenciennei";"Unknown";"pelagic-neritic";"elongated";"Unknown";"Unknown";"N.E.";"Cilik/Kecil";"eDNA"
"Istigobius goldmanni";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Lethrinus erythracanthus";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Lethrinus erythracanthus";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Lethrinus genivittatus";"non-migratory";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Genting 1";"eDNA"
"Lethrinus genivittatus";"non-migratory";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Genting 1";"eDNA"
"Lethrinus harak";"non-migratory";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Genting 1";"eDNA"
"Lethrinus harak";"non-migratory";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Genting 1";"eDNA"
"Lethrinus laticaudis";"non-migratory";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Genting 1";"eDNA"
"Lethrinus laticaudis";"non-migratory";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Taka Malang E";"eDNA"
"Lethrinus nebulosus";"non-migratory";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Genting 1";"eDNA"
"Lethrinus obsoletus";"non-migratory";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Taka Malang E";"eDNA"
"Lutjanus ehrenbergii";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Lutjanus lemniscatus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Lutjanus lutjanus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Macrodontogobius wilburi";"Unknown";"reef-associated";"fusiform / normal";"Omnivore";"Unknown";"LC";"Genting 1";"eDNA"
"Macrodontogobius wilburi";"Unknown";"reef-associated";"fusiform / normal";"Omnivore";"Unknown";"LC";"Taka Malang E";"eDNA"
"Myersina filifer";"Unknown";"demersal";"elongated";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Myersina filifer";"Unknown";"demersal";"elongated";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Nectamia savayensis";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Yes";"LC";"Genting 1";"eDNA"
"Nectamia savayensis";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Yes";"LC";"Genting 1";"eDNA"
"Neoglyphidodon melas";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"LC";"Taka Malang E";"eDNA"
"Neoglyphidodon melas";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"LC";"Taka Malang E";"eDNA"
"Neoglyphidodon melas";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Neoglyphidodon melas";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Neoglyphidodon melas";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"LC";"Genting 1";"eDNA"
"Neoglyphidodon melas";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"LC";"Genting 1";"eDNA"
"Neoglyphidodon melas";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Neoglyphidodon nigroris";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Neoglyphidodon nigroris";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Neoglyphidodon nigroris";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Neoglyphidodon nigroris";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Neoglyphidodon nigroris";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Neoglyphidodon nigroris";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Neoglyphidodon nigroris";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Neoglyphidodon nigroris";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Neoglyphidodon nigroris";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Neoglyphidodon oxyodon";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Neoglyphidodon oxyodon";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Neoglyphidodon oxyodon";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Neoglyphidodon oxyodon";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Neoglyphidodon oxyodon";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Neoglyphidodon oxyodon";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Neoglyphidodon oxyodon";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Neoglyphidodon oxyodon";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Neoglyphidodon oxyodon";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Neoglyphidodon oxyodon";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Neopomacentrus azysron";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Neopomacentrus azysron";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Neopomacentrus azysron";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Neopomacentrus azysron";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Neopomacentrus azysron";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Neopomacentrus cyanomos";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Neopomacentrus cyanomos";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Neopomacentrus cyanomos";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Neopomacentrus cyanomos";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Ostorhinchus apogonoides";"Unknown";"reef-associated";"elongated";"Unknown";"Yes";"LC";"Taka Malang E";"eDNA"
"Ostorhinchus apogonoides";"Unknown";"reef-associated";"elongated";"Unknown";"Yes";"LC";"Taka Malang E";"eDNA"
"Ostorhinchus aureus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Yes";"LC";"Taka Malang E";"eDNA"
"Ostorhinchus compressus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Yes";"LC";"Taka Malang E";"eDNA"
"Ostorhinchus compressus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Yes";"LC";"Taka Malang E";"eDNA"
"Ostorhinchus compressus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Yes";"LC";"Menjangan Kecil";"eDNA"
"Ostorhinchus compressus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Yes";"LC";"Taka Malang E";"eDNA"
"Ostorhinchus compressus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Yes";"LC";"Cilik/Kecil";"eDNA"
"Oxycheilinus celebicus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Oxycheilinus unifasciatus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Stegastes lacrymatus";"non-migratory";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"N.E.";"Genting 1";"eDNA"
"Pleurosicya bilobata";"Unknown";"demersal";"elongated";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pleurosicya bilobata";"Unknown";"demersal";"elongated";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pomacentrus adelus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"N.E.";"Cilik/Kecil";"eDNA"
"Pomacentrus adelus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"N.E.";"Taka Malang E";"eDNA"
"Pomacentrus adelus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"N.E.";"Cilik/Kecil";"eDNA"
"Pomacentrus alexanderae";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"N.E.";"Taka Malang E";"eDNA"
"Pomacentrus alexanderae";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"N.E.";"Menjangan Kecil";"eDNA"
"Pomacentrus alexanderae";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"N.E.";"Taka Malang E";"eDNA"
"Pomacentrus alexanderae";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"N.E.";"Taka Malang E";"eDNA"
"Pomacentrus alexanderae";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"N.E.";"Cilik/Kecil";"eDNA"
"Pomacentrus alexanderae";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"N.E.";"Genting 1";"eDNA"
"Pomacentrus alexanderae";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"N.E.";"Menjangan Kecil";"eDNA"
"Pomacentrus alexanderae";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"N.E.";"Cilik/Kecil";"eDNA"
"Pomacentrus alexanderae";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"N.E.";"Cilik/Kecil";"eDNA"
"Pomacentrus amboinensis";"oceanodromous";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pomacentrus amboinensis";"oceanodromous";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Pomacentrus amboinensis";"oceanodromous";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pomacentrus bankanensis";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Pomacentrus bankanensis";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pomacentrus bankanensis";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pomacentrus bankanensis";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Pomacentrus bankanensis";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Pomacentrus brachialis";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"N.E.";"Cilik/Kecil";"eDNA"
"Pomacentrus burroughi";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"N.E.";"Cilik/Kecil";"eDNA"
"Pomacentrus burroughi";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"N.E.";"Taka Malang E";"eDNA"
"Pomacentrus burroughi";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"N.E.";"Cilik/Kecil";"eDNA"
"Pomacentrus burroughi";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"N.E.";"Taka Malang E";"eDNA"
"Pomacentrus burroughi";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"N.E.";"Cilik/Kecil";"eDNA"
"Pomacentrus chrysurus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Pomacentrus chrysurus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pomacentrus coelestis";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pomacentrus coelestis";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pomacentrus coelestis";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Pomacentrus coelestis";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Pomacentrus coelestis";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Pomacentrus coelestis";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pomacentrus grammorhynchus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Pomacentrus grammorhynchus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Pomacentrus grammorhynchus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pomacentrus lepidogenys";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"NT";"Taka Malang E";"eDNA"
"Pomacentrus lepidogenys";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"NT";"Taka Malang E";"eDNA"
"Pomacentrus lepidogenys";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"NT";"Menjangan Kecil";"eDNA"
"Pomacentrus lepidogenys";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"NT";"Taka Malang E";"eDNA"
"Pomacentrus lepidogenys";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"NT";"Cilik/Kecil";"eDNA"
"Pomacentrus moluccensis";"non-migratory";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pomacentrus moluccensis";"non-migratory";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Pomacentrus moluccensis";"non-migratory";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Pomacentrus moluccensis";"non-migratory";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pomacentrus nagasakiensis";"oceanodromous";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pomacentrus nagasakiensis";"oceanodromous";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Pomacentrus nagasakiensis";"oceanodromous";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Pomacentrus nagasakiensis";"oceanodromous";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pomacentrus nagasakiensis";"oceanodromous";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pomacentrus nagasakiensis";"oceanodromous";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Pomacentrus nagasakiensis";"oceanodromous";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Pomacentrus nigromanus";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pomacentrus nigromanus";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Pomacentrus nigromarginatus";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pomacentrus nigromarginatus";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Pomacentrus pavo";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Pomacentrus pavo";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pomacentrus philippinus";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pomacentrus philippinus";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pomacentrus philippinus";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Pomacentrus philippinus";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pomacentrus vaiuli";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Pomacentrus vaiuli";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pomacentrus vaiuli";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Pomacentrus vaiuli";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Pomacentrus vaiuli";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Priacanthus hamrur";"Unknown";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Pseudochromis fuscus";"Unknown";"reef-associated";"elongated";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Pterocaesio digramma";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Pterocaesio digramma";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Pterocaesio tessellata";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Pterocaesio trilineata";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Pterocaesio trilineata";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Rachycentron canadum";"oceanodromous";"reef-associated";"elongated";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Salarias guttatus";"Unknown";"reef-associated";"elongated";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Sardinella albella";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Sargocentron melanospilos";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Yes";"LC";"Genting 1";"eDNA"
"Sargocentron rubrum";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Yes";"LC";"Genting 1";"eDNA"
"Sargocentron spiniferum";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Yes";"LC";"Genting 1";"eDNA"
"Scarus dimidiatus";"Unknown";"reef-associated";"elongated";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Scarus dimidiatus";"Unknown";"reef-associated";"elongated";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Scarus dimidiatus";"Unknown";"reef-associated";"elongated";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Scarus frenatus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Scarus globiceps";"Unknown";"reef-associated";"elongated";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Scarus globiceps";"Unknown";"reef-associated";"elongated";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
